id,price,commit,icon,title
7868262,128.00,8.4万+,自营,良品铺子 每日坚果 混合干果核桃 坚果礼盒送礼零食大礼包30包 全能妈妈综合果仁750g
3995878,128.00,73万+,自营,京东超市三只松鼠坚果大礼包1588g每日坚果礼盒干果组合送礼火红A网红零食坚果礼盒8袋装
7064548,126.00,16万+,自营,京东超市百草味 坚果炒货 每日坚果混合果仁（25g*30）750g/盒 独立小包装送礼零食大礼包礼盒
6939819,128.00,10万+,自营,京东超市京东出品 碧东混搭营养坚果包 每日坚果 休闲零食 混合坚果 节日礼盒 25g*30包
1748825,18.80,12万+,自营,洽洽坚果炒货干果零食每日坚果大包装奶油味碧根果200g/袋
4803334,29.90,141万+,自营,京东超市三只松鼠坚果炒货零食特产每日坚果开心果100g/袋
4803330,23.80,114万+,自营,京东超市三只松鼠坚果炒货干果零食每日坚果碧根果120g/袋
1150551,16.90,91万+,自营,京东超市百草味 坚果零食干果 每日坚果 奶油味夏威夷果200g/袋（内含开果器）
10292153378,139.00,10万+,,沃隆 每日坚果孕妇零食大礼包核桃 混合坚果干果礼盒 30日装750g官方旗舰店 混合AB款750g/盒
2156342,139.00,60万+,自营,京东超市沃隆 每日坚果 坚果炒货 休闲零食 成人款 （25g*30包） 750g/盒 送礼零食大礼包礼盒
10103476731,26.80,43万+,京东,京东超市【199减120】良品铺子  奶香味巴旦木120g 坚果干果零食
2518087,23.90,117万+,自营,京东超市三只松鼠坚果炒货干果零食特产奶油味夏威夷果265g/袋 送开口器
21798495917,29.90,63万+,券2,京东超市满199减120三只松鼠 开心果100g坚果炒货零食每日坚果 1袋装
3337468,88.00,53万+,自营,京东超市三只松鼠坚果大礼包1373g每日坚果礼盒干果组合碧根果夏威夷果瓜子送礼礼盒活力版7袋装
10153479274,25.90,12万+,京东,粒上皇 甘栗仁100g*3袋 栗子板栗 坚果炒货干果零食特产 板栗源自迁西
2248414,88.00,20万+,自营,京东超市百草味 坚果大礼包1358g/盒 8袋装夏威夷果碧根果每日坚果送礼团圆礼盒
28505077462,118.00,8500+,,沃隆 每日坚果 休闲零食 坚果炒货 腰果榛子核桃 干果大礼包孕妇礼盒 京东定制525g/盒
4803346,21.90,114万+,自营,京东超市三只松鼠坚果炒货干果零食每日坚果手剥巴旦木120g/袋
10559269135,27.90,33万+,京东,京东超市【199减120】良品铺子东北红松98g 手剥开口松子 干果坚果零食特产小吃 红松 98g
14440792552,149.00,1.9万+,京东,爱心东东【下单送礼袋】洽洽中秋礼品每日坚果中秋礼盒 26g*30袋混合坚果恰恰每日坚果礼盒 （26g*30包） 780g/盒
27009615825,33.90,34万+,,京东超市满199减120三只松鼠 夏威夷果160g 零食坚果炒货每日坚果干果休闲零食办公室奶油味送开口器 160g
4624834,28.90,12万+,自营,来伊份 每日坚果 什锦混合果仁 7日装 天天坚果经典款175g/盒
16681082334,139.00,7.3万+,京东,百草味 每日坚果750g/30袋 送礼礼盒 混合孕妇零食大礼包 休闲干果食品组合 巴旦木仁核桃腰果 限量版 成人款
27389909974,79.90,8600+,京东,【两盒立减20元】750g/盒 每日坚果混合坚果30包干果坚果仁小包装坚果大礼包孕妇零食中秋礼盒年货
4633926,59.90,4.2万+,自营,姚生记 原味山核桃仁 坚果炒货 零食干果仁 小核桃仁160g/罐
10142793104,26.90,2.1万+,京东,粒上皇 奶油味夏威夷果245g 坚果炒货干果零食
1745142,18.80,4.3万+,自营,洽洽坚果炒货干果零食每日坚果盐焗味开心果150g/袋
3260364,129.00,10万+,自营,美国进口 绅士牌(Planters)精选大罐混合坚果（腰果、巴旦木、碧根果、开心果、榛子）963g
21795873518,24.90,78万+,,满199减120三只松鼠 碧根果120g坚果炒货每日坚果 1袋装
1473185858,26.90,16万+,京东,京东超市【199减120】良品铺子  夏威夷果120g坚果炒货干果休闲看剧零食
3554085,118.00,18万+,自营,京东超市臻味 每日坚果礼盒 坚果炒货 干果礼盒零食混合干果 天天坚果756g/盒
30891960482,42.00,20+,新品,BONPUR 夏威夷果仁坚果休闲孕妇零食食品95g罐装原味无添加剂干果
4202412,99.00,5.4万+,自营,京东超市【京东出品】八享时每日坚果750g（25g*30袋）送礼  混合坚果 零食大礼包 核桃腰果扁桃仁榛子仁
2976607,69.80,4.4万+,自营,京东超市美国进口 绅士牌(Planters)混合坚果·（腰果，巴旦木，碧根果）233g（新老包装随机发货）
2340268,139.00,8.2万+,自营,沃隆  每日坚果 休闲零食 年货礼盒 学生款 （25g*30包 ）750g/盒 送礼零食大礼包礼盒
3987510,168.00,14万+,自营,京东超市三只松鼠坚果零食礼盒网红送礼碧根果夏威夷果坚果大礼包火红B1765g/袋
6271279,37.90,8.3万+,自营,三只松鼠 坚果炒货 零食奶油味 夏威夷果160g/袋
4803348,21.90,101万+,自营,京东超市三只松鼠坚果炒货零食特产每日坚果炭烧腰果90g/袋
15074621024,139.00,1.1万+,,沃隆 【送小袋装】每日坚果天天坚果大礼包儿童孕妇休闲零食小吃混合干果礼盒 A款大盒25g*30袋
4053463,24.90,112万+,自营,京东超市三只松鼠坚果炒货零食每日坚果手剥开口松子100g/袋
2543188,28.90,88万+,自营,京东超市三只松鼠坚果炒货休闲零食特产无漂白开心果225g/袋
2542855,22.90,95万+,自营,京东超市三只松鼠坚果炒货干果零食核桃奶油味碧根果225g/袋
1411186213,16.90,21万+,券2,满199减120三只松鼠 甘栗仁100g休闲零食坚果河北特产板栗仁栗子仁美栗
3397560,228.00,10万+,自营,京东超市三只松鼠坚果大礼包2486g零食组合夏威夷果开心果腰果干果礼盒14袋装（新老包装交替发货）
2688514,15.90,32万+,自营,京东超市三只松鼠坚果炒货零食特产即食板栗开口甘栗120g/袋
2542861,23.90,50万+,自营,京东超市三只松鼠坚果炒货零食干果果仁炭烧味炭烧腰果185g/袋
12296012725,69.80,3.5万+,,【沃尔玛】DAN.D.PAK 越南进口 腰果 零食腰果仁 盐焗 560g 新老包装随机发货
31765891285,28.00,9,新品,原味混合坚果仁休闲孕妇零食食品100g罐装无添加剂干果夏威夷果腰果
2518067,28.80,88万+,自营,京东超市三只松鼠坚果炒货休闲零食特产纸皮核桃210g/袋
2169920,28.90,30万+,自营,京东超市百草味 坚果炒货 每日坚果干果零食东北松子（原味）100g/袋
2517916,13.90,31万+,自营,京东超市三只松鼠坚果炒货休闲零食花生米多味花生205g/袋
11248276425,24.80,30万+,京东,京东超市满199减120_百草味  碧根果100g 每日坚果长寿果核桃 坚果炒货干果零食特产 MJ
1411194273,17.90,8.4万+,,满199减120三只松鼠 开口甘栗120g坚果河北特产带壳板栗子能栗
2543198,21.90,50万+,自营,京东超市三只松鼠坚果炒货零食特产奶香味手剥巴旦木235g/袋
29995230900,148.00,0,,臻味（Delicious） 天天坚果 混合每日坚果礼盒果干组合休闲零食团购 成人款 810g
1020565583,49.80,10万+,京东,京东超市良品铺子东北红松218gX2袋 坚果炒货 每日坚果 干果零食手剥松子仁 手剥开口颗粒饱满
1150557,16.90,52万+,自营,京东超市百草味 坚果炒货 每日坚果 干果零食核桃 碧根果190g/袋
1150556,27.90,48万+,自营,京东超市百草味 坚果炒货 休闲零食特产 每日坚果 开心果200g/袋
1150545,16.90,40万+,自营,京东超市百草味 坚果干果零食炒货特产 每日坚果薄壳扁桃仁 巴旦木180g/袋(奶油味)
11248280482,24.80,30万+,京东,京东超市满199减120_百草味    夏威夷果100g 每日坚果炒货干果零食特产 奶油口味 MJ
11248297491,21.80,21万+,京东,京东超市满199减120_百草味  巴旦木100g 每日坚果炒货零食干果特产手剥 奶香味 MJ
3376269,59.90,7.5万+,自营,京东超市稻香村 源合斋干果坚果礼盒臻品果礼1608g/盒 零食大礼包
17243193210,9.90,20万+,京东,京东超市【199减120】良品铺子  蟹黄味瓜子仁110g 坚果炒货零食小包装香脆可口1 110g 蟹黄味
2655631,48.90,7.8万+,自营,京东超市三只松鼠坚果炒货休闲零食巴西手剥松子125g/袋
24146859535,28.00,6500+,,网易严选 每日坚果 零食核桃腰果扁桃仁果干 休闲孕妇零食礼盒大礼包 175克（25克×7袋）
2280053,36.90,7.1万+,自营,姚生记 坚果炒货 干果零食 新疆大核桃仁 生核桃仁300g/袋
16508788528,159.00,2.5万+,券6,新品三只松鼠 每日坚果750g_30天装 混合果仁大礼包孕妇零食小吃 每日坚果750g（升级款30天装）
2655605,14.90,18万+,自营,京东超市三只松鼠坚果炒货休闲零食蟹黄味蟹香蚕豆205g/袋
26814798880,69.00,200+,,觅菓（miguo） 觅菓原味w240腰果500g果仁坚果孕妇零食炭烧生盐局带皮腰果罐装包邮
5934669,169.00,2.5万+,自营,京东超市百草味 坚果大礼包旺得福1558g/盒 10袋装每日坚果休闲零食特产送礼夏威夷果碧根果
2401487,25.90,12万+,自营,京东超市百草味 零食干果 薄皮大核桃 每日坚果炒货 纸皮核桃180g/袋
10564097732,209.90,4.6万+,秒杀,满199减120_百草味 坚果大礼包1428g 每日干果网红零食一整箱送礼盒 圆满9袋装 MJ
3897372,12.90,8.2万+,自营,京东超市三只松鼠坚果炒货休闲零食奶油味花生150g/袋
15146803653,8.90,15万+,京东,京东超市【199减120】良品铺子  麻辣花生米/淮盐花生仁100g 坚果炒货休闲零食零食品 花生米 麻辣味
10500034310,228.00,5.3万+,2件,三只松鼠 坚果大礼包2486g 每日坚果零食组合14袋装礼盒 B套餐  送礼佳选
14709776068,176.40,2.5万+,京东,京东超市加州原野 每日坚果750g 混合坚果 独立小包装 休闲零食 早餐伴侣 下午茶零食
20902304542,139.00,3900+,,唐孕 孕妇零食每日坚果混合坚果30包无添加组合装年货礼盒干果仁大礼包 B款（注重骨骼发育）30袋
1684359102,46.90,2.1万+,京东,京东超市好想你 满199减130 核桃454g 新货薄皮大核桃 手剥原味新疆特产坚果干果零食
1275774,29.80,9.5万+,自营,京东超市姚生记 坚果炒货 休闲零食干果 罐装核桃 薄皮核桃 新疆大核桃500g/罐
1105812095,13.80,18万+,京东,满199减120_百草味 板栗仁80g  休闲零食坚果果仁特产 即食熟制甘栗仁 MJ
14008175504,58.90,3.8万+,京东,沃隆 【满199减100】每日坚果天天坚果大礼包儿童孕妇休闲零食小吃混合干果中秋送礼礼盒 小袋装 B款小盒25g*7袋
5394545,26.90,1.7万+,自营,京东超市百草味 每日坚果零食 巴达木干果特产 罐装巴旦木仁238g/罐
5916570,32.90,3.7万+,自营,京东超市百草味 坚果炒货 干果零食特产薄壳 象牙手剥松子80g/袋
20977110063,24.80,21万+,京东,京东超市【199减120】良品铺子  综合果仁75g*1袋每日综合果仁混合坚果果干休闲零食 75g 综合果仁
3554085,118.00,18万+,自营,臻味 每日坚果礼盒 坚果炒货 干果礼盒零食混合干果 天天坚果756g/盒
1018421638,48.90,51万+,满4,三只松鼠 夏威夷果265gx2袋 零食坚果炒货每日坚果干果休闲零食办公室奶油味送开口器
12280739121,43.90,3万+,京东,满199减120 楼兰蜜语 薄皮核桃500g新疆特产干果非纸皮大核桃坚果 内附开果器
5236109,27.90,27万+,自营,京东超市良品铺子 炭烧腰果仁 干果坚果零食 小吃 干货袋装120g
2688522,48.90,5.3万+,自营,京东超市三只松鼠坚果炒货休闲零食山核桃仁155g/袋
14505105382,74.80,5.4万+,京东,满199减120_百草味 每日坚果175g/7袋 混合果仁休闲零食综合干果 巴旦木仁核桃腰果 MJ 成人款
1265596,16.90,9.3万+,自营,京东超市西域美农 休闲零食 干果坚果 新疆特产小吃 鹰嘴豆250g/袋（新老包装随机发货）
19673008178,11.90,7.7万+,京东,京东超市【199减120】良品铺子  香脆红薯片70g蔬果干蜜饯地瓜干休闲零食特产小吃 70g 香脆红薯片
1016920871,63.90,28万+,券6,三只松鼠 开心果225gx2袋 坚果炒货 每日坚果 休闲零食 干果 办公室分享 原味无漂白
1434757313,98.00,7.9万+,秒杀,百草味 坚果大礼包1450g 每日干果网红零食一整箱送礼盒 圆满9袋装 送礼
6082622,99.00,3万+,自营,俏香阁 休闲零食 坚果炒货  每日坚果 礼盒 （25g*30包）750g/盒
4493765,29.90,4.4万+,自营,京东超市姚太太 开心果 坚果干果炒货 无漂白开心果218g
3412926,39.90,4.7万+,自营,美国进口 绅士牌(planters)蜜焗混合坚果283g
11282177491,146.00,2100+,券1,来伊份【前200名立减30元】天天坚果礼盒30日装箱每日坚果750g混合每日坚果果仁孕妇儿童零食来一 健康全家款
5968236,75.00,1.5万+,自营,思宏（SIHONG）坚果炒货每日坚果枣750g礼盒装六口味混合装25g*30包零食大礼包中秋礼盒
16025109481,9.90,16万+,京东,京东超市【199减120】良品铺子 怪味胡豆120g重庆怪味胡豆兰花豆麻辣炒蚕豆休闲零食 120g 怪味胡豆
1013789344,48.90,19万+,满4,三只松鼠 炭烧腰果185gx2袋 坚果炒货  每日坚果 休闲零食 特产干果 腰果仁
4181107,29.90,2.5万+,自营,京东超市姚太太 薄皮大核桃 坚果零食 新疆特产500g/罐
1251191,26.90,13万+,自营,京东超市良品铺子 巴旦木 坚果零食小吃 干货干果 袋装238g
10510526268,198.90,6.6万+,秒杀,满199减120_百草味 坚果大礼包1358g 每日坚果干果网红零食小吃一整箱送礼礼盒 团圆 MJ
5842281,23.90,4万+,自营,京东超市百草味 坚果零食果仁 特产小核桃仁肉 临安山核桃仁80g/袋
15821847123,38.50,7400+,赠,问君 【买三斤送一斤同款】2018年新鲜原味核桃仁500g新疆生干山核桃肉批发薄皮黑桃仁坚果零食
27828342350,109.00,100+,,广天福 恋上每日坚果混合坚果30日装750g成人儿童孕妇零食大礼包组合干果礼盒 【恋上，每日坚果】25g*30包
4431195,13.50,9.6万+,自营,果园老农 巴旦木 坚果炒货 零食坚果 巴旦木仁美国扁桃仁100g
4663550,19.90,6.2万+,自营,京东超市老闫家 南瓜子坚果炒货 原味南瓜籽办公室休闲零食品 500g/袋独立小包
1117308642,13.90,19万+,京东,京东超市满199减120三只松鼠 多味花生120g休闲零食坚果炒货花生米萌版
10034750432,19.80,14万+,京东,京东超市【199减120】良品铺子  话梅味西瓜子218g瓜籽子坚果炒货特产零食休闲食品
4780197,7.90,4600+,自营,真心 坚果炒货 休闲零食小吃 原味香瓜子500g/袋
2117578,18.90,12万+,自营,京东超市百草味 坚果炒货西瓜子 颗粒饱满休闲零食小吃 话梅西瓜子200g/袋
2518069,14.90,44万+,自营,京东超市三只松鼠坚果炒货零食小吃蚕豆牛肉味兰花豆205g/袋
10832081875,178.80,1.8万+,,Member's Mark进口每日坚果1.1kg 原味混合坚果 休闲零食 坚果炒货 小吃
885023,5.90,28万+,自营,京东超市洽洽 坚果炒货 五香味 香瓜子160g/袋
885013,9.90,28万+,自营,京东超市洽洽 坚果炒货 休闲零食 五香味香瓜子308g/袋
1250135,26.90,8.3万+,自营,京东超市百草味 坚果干果零食 碧根果仁168g/袋 奶香味核桃仁山核桃仁
7249742,47.90,4500+,自营,果园老农 坚果炒货 美国巴旦木仁  办公室零食罐装扁桃仁 290g
